Province,Island,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Population,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate (%),Case Recovered Rate (%),Growth Factor of New Cases,Growth Factor of New Deaths,Cluster
Jawa Tengah,Jawa,4115,272,3648,195,326494,15011,249534,61949,36364072,113,8978,7,413,5,76,1,2,1
Jawa Timur,Jawa,4419,357,2865,1197,243567,16509,182901,44157,40479023,109,6017,9,408,7,75,1,1,1
Kalimantan Barat,Kalimantan,130,7,0,123,21279,496,15985,4798,5422814,24,3924,1,91,2,75,0,1,1
Kalimantan Selatan,Kalimantan,248,6,33,209,40276,1146,35563,3567,4023049,62,10011,1,285,3,88,1,1,1
Kalimantan Tengah,Kalimantan,123,8,140,-25,30470,591,21973,7906,2570289,48,11855,3,230,2,72,0,1,1
Kalimantan Timur,Kalimantan,963,77,771,115,97525,2471,79258,15796,3552191,271,27455,22,696,3,81,1,2,1
Kalimantan Utara,Kalimantan,130,6,112,12,16416,249,13235,2932,648407,200,25317,9,384,2,81,0,2,1
Kepulauan Bangka Belitung,Sumatera,275,12,263,0,27053,467,22633,3953,1379767,199,19607,9,338,2,84,1,1,1
Kepulauan Riau,Sumatera,704,17,553,134,37285,841,28200,8244,1929400,365,19325,9,436,2,76,1,1,1
Lampung,Sumatera,650,11,128,511,28658,1265,20918,6475,9095591,71,3151,1,139,4,73,1,1,1
Maluku Utara,Maluku,92,5,76,11,8296,184,5346,2766,1307803,70,6343,4,141,2,64,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,228,2,321,-95,16559,532,13651,2376,5270247,43,3142,0,101,3,82,1,1,1
Nusa Tenggara Timur,Nusa Tenggara,749,9,241,499,29110,547,18654,9909,5411321,138,5379,2,101,2,64,1,4,1
Papua,Papua,180,1,0,179,23564,294,11792,11478,4340348,41,5429,0,68,1,50,1,0,1
Papua Barat,Papua,70,3,136,-69,15974,237,11765,3972,1140701,61,14004,3,208,1,74,0,1,1
Riau,Sumatera,680,27,509,144,82786,2216,72574,7996,6074100,112,13629,4,365,3,88,1,1,1
Sulawesi Barat,Sulawesi,62,3,37,22,6981,140,5878,963,1559984,40,4475,2,90,2,84,1,3,1
Sulawesi Selatan,Sulawesi,351,17,321,13,72588,1108,65069,6411,9426885,37,7700,2,118,2,90,1,1,1
Sulawesi Tengah,Sulawesi,273,5,49,219,17066,478,13725,2863,2955567,92,5774,2,162,3,80,1,1,1
Sulawesi Tenggara,Sulawesi,123,3,9,111,13940,285,11344,2311,2635461,47,5289,1,108,2,81,1,0,1
Sulawesi Utara,Sulawesi,70,2,193,-125,19793,610,16153,3030,2641884,27,7492,1,231,3,82,0,0,1
Sumatera Barat,Sumatera,740,10,373,357,62090,1346,51880,8864,5519245,134,11250,2,244,2,84,1,2,1
Sumatera Selatan,Sumatera,376,41,290,45,37322,1737,29726,5859,8217551,46,4542,5,211,5,80,1,2,1
Sumatera Utara,Sumatera,611,8,202,401,45150,1330,35584,8236,14874889,41,3035,1,89,3,79,1,1,1
Aceh,Sumatera,52,0,11,41,21013,924,16229,3860,5247257,10,4005,0,176,4,77,5,0,1
Bali,Nusa Tenggara,880,23,533,324,62896,1817,53262,7817,4216171,209,14918,5,431,3,85,1,1,1
Banten,Jawa,2865,10,480,2375,92742,1570,56297,34875,10722374,267,8649,1,146,2,61,1,2,1
Bengkulu,Sumatera,101,0,167,-66,14220,226,10855,3139,1999539,51,7112,0,113,2,76,1,0,1
DKI Jakarta,Jawa,6213,268,12066,-6121,757523,10684,652207,94632,10846145,573,69843,25,985,1,86,1,1,0
Daerah Istimewa Yogyakarta,Jawa,1872,69,1152,651,95948,2509,64909,28530,3631015,516,26425,19,691,3,68,1,1,1
Gorontalo,Sulawesi,22,0,102,-80,6948,196,5919,833,1180651,19,5885,0,166,3,85,0,1,1
Jambi,Sumatera,222,4,49,169,16870,321,13007,3542,3493357,64,4829,1,92,2,77,1,4,1
Jawa Barat,Jawa,7281,68,3355,3858,533964,7730,412509,113725,45161325,161,11823,2,171,1,77,1,1,1
Jawa Tengah,Jawa,3421,269,4082,-930,329915,15280,253616,61019,36364072,94,9073,7,420,5,77,1,1,1
