Province,Island,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Population,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate (%),Case Recovered Rate (%),Growth Factor of New Cases,Growth Factor of New Deaths,Cluster
Nusa Tenggara Barat,Nusa Tenggara,1,0,2,-1,27807,818,26920,69,5270247,0,5276,0,155,3,97,1,0,1
Nusa Tenggara Timur,Nusa Tenggara,4,0,7,-3,64253,1347,62844,62,5411321,1,11874,0,249,2,98,1,1,1
Papua,Papua,0,0,0,0,34374,560,33706,108,4340348,0,7920,0,129,2,98,0,1,1
Papua Barat,Papua,2,0,32,-30,23660,357,23194,109,1140701,2,20742,0,313,2,98,0,1,1
Sulawesi Barat,Sulawesi,0,0,1,-1,12368,347,12017,4,1559984,0,7928,0,222,3,97,1,1,1
Sulawesi Selatan,Sulawesi,1,0,4,-3,110000,2241,107727,32,9426885,0,11669,0,238,2,98,0,1,1
Sulawesi Tengah,Sulawesi,2,0,4,-2,47253,1605,45603,45,2955567,1,15988,0,543,3,97,1,1,1
Sulawesi Utara,Sulawesi,2,0,2,0,34799,1063,33633,103,2641884,1,13172,0,402,3,97,1,1,1
Sumatera Barat,Sumatera,1,0,11,-10,89873,2153,87704,16,5519245,0,16284,0,390,2,98,0,0,1
Sumatera Selatan,Sumatera,0,0,2,-2,59986,3082,56889,15,8217551,0,7300,0,375,5,95,0,1,1
Sumatera Utara,Sumatera,7,0,3,4,106123,2893,103178,52,14874889,0,7134,0,194,3,97,2,1,1
Aceh,Sumatera,0,0,0,0,38430,2066,36362,2,5247257,0,7324,0,394,5,95,0,1,1
Bali,Nusa Tenggara,3,0,0,3,114392,4061,110273,58,4216171,1,27132,0,963,4,96,1,0,1
Banten,Jawa,8,0,5,3,132834,2694,130133,7,10722374,1,12388,0,251,2,98,2,1,1
DKI Jakarta,Jawa,118,0,46,72,865415,13609,851282,524,10846145,11,79790,0,1255,2,98,1,0,1
Daerah Istimewa Yogyakarta,Jawa,7,0,7,0,157004,5269,151631,104,3631015,2,43240,0,1451,3,97,1,1,1
Gorontalo,Sulawesi,0,0,1,-1,11849,461,11388,0,1180651,0,10036,0,390,4,96,0,1,1
Jambi,Sumatera,0,0,0,0,29792,783,28997,12,3493357,0,8528,0,224,3,97,0,1,1
Jawa Barat,Jawa,18,0,11,7,708868,14756,693639,473,45161325,0,15696,0,327,2,98,1,1,1
Jawa Tengah,Jawa,6,0,8,-2,486921,30383,455803,735,36364072,0,13390,0,836,6,94,1,1,1
Jawa Timur,Jawa,15,1,12,2,400080,29746,370371,-37,40479023,0,9884,0,735,7,93,1,0,1
Kalimantan Barat,Kalimantan,3,0,2,1,41674,1063,40602,9,5422814,1,7685,0,196,3,97,3,1,1
Kalimantan Tengah,Kalimantan,1,0,0,1,45661,1433,44196,32,2570289,0,17765,0,558,3,97,1,1,1
Kepulauan Riau,Sumatera,52,0,0,52,54264,1748,52132,384,1929400,27,28125,0,906,3,96,17,1,1
Maluku,Maluku,0,0,1,-1,14596,265,14326,5,1847097,0,7902,0,143,2,98,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,2,0,1,1,27809,818,26921,70,5270247,0,5277,0,155,3,97,2,1,1
Nusa Tenggara Timur,Nusa Tenggara,1,0,4,-3,64254,1347,62848,59,5411321,0,11874,0,249,2,98,0,1,1
Papua,Papua,0,0,1,-1,34374,560,33707,107,4340348,0,7920,0,129,2,98,1,1,1
Papua Barat,Papua,13,0,17,-4,23673,357,23211,105,1140701,11,20753,0,313,2,98,6,1,1
Riau,Sumatera,1,0,9,-8,128935,4117,124480,338,6074100,0,21227,0,678,3,97,0,1,1
Sulawesi Barat,Sulawesi,0,0,0,0,12368,347,12017,4,1559984,0,7928,0,222,3,97,1,1,1
Sulawesi Selatan,Sulawesi,5,0,6,-1,110005,2241,107733,31,9426885,1,11669,0,238,2,98,5,1,1
Sulawesi Tengah,Sulawesi,3,0,1,2,47256,1605,45604,47,2955567,1,15989,0,543,3,96,2,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,20173,528,19638,7,2635461,0,7654,0,200,3,97,0,1,1
Sulawesi Utara,Sulawesi,3,0,0,3,34802,1063,33633,106,2641884,1,13173,0,402,3,97,2,1,1
Sumatera Selatan,Sumatera,0,0,4,-4,59986,3082,56893,11,8217551,0,7300,0,375,5,95,1,1,1
Sumatera Utara,Sumatera,2,0,0,2,106125,2893,103178,54,14874889,0,7135,0,194,3,97,0,1,1
Bali,Nusa Tenggara,1,0,0,1,114393,4061,110273,59,4216171,0,27132,0,963,4,96,0,1,1
Banten,Jawa,7,0,3,4,132841,2694,130136,11,10722374,1,12389,0,251,2,98,1,1,1
DKI Jakarta,Jawa,103,0,106,-3,865518,13609,851388,521,10846145,10,79800,0,1255,2,98,1,1,1
Daerah Istimewa Yogyakarta,Jawa,2,0,5,-3,157006,5269,151636,101,3631015,1,43240,0,1451,3,97,0,1,1
Gorontalo,Sulawesi,0,0,0,0,11849,461,11388,0,1180651,0,10036,0,390,4,96,1,1,1
Jambi,Sumatera,0,0,1,-1,29792,783,28998,11,3493357,0,8528,0,224,3,97,1,1,1
Jawa Barat,Jawa,11,0,35,-24,708879,14756,693674,449,45161325,0,15697,0,327,2,98,1,1,1
Jawa Tengah,Jawa,4,0,6,-2,486925,30383,455809,733,36364072,0,13390,0,836,6,94,1,1,1
Jawa Timur,Jawa,8,0,8,0,400088,29746,370379,-37,40479023,0,9884,0,735,7,93,1,0,1
Kalimantan Barat,Kalimantan,1,0,2,-1,41675,1063,40604,8,5422814,0,7685,0,196,3,97,0,1,1
Kalimantan Selatan,Kalimantan,0,0,0,0,69957,2391,67553,13,4023049,0,17389,0,594,3,97,0,1,1
Kalimantan Tengah,Kalimantan,0,0,1,-1,45661,1433,44197,31,2570289,0,17765,0,558,3,97,0,1,1
Kalimantan Timur,Kalimantan,0,0,2,-2,158334,5452,152862,20,3552191,0,44574,0,1535,3,97,0,1,1
Kalimantan Utara,Kalimantan,2,0,0,2,35948,811,35111,26,648407,3,55440,0,1251,2,98,0,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,2,-2,52360,1462,50885,13,1379767,0,37948,0,1060,3,97,0,1,1
Kepulauan Riau,Sumatera,24,0,0,24,54288,1748,52132,408,1929400,12,28137,0,906,3,96,0,1,1
Lampung,Sumatera,0,0,0,0,49751,3871,45345,535,9095591,0,5470,0,426,8,91,0,1,1
Nusa Tenggara Barat,Nusa Tenggara,1,0,0,1,27810,818,26921,71,5270247,0,5277,0,155,3,97,0,1,1
Nusa Tenggara Timur,Nusa Tenggara,0,0,6,-6,64254,1347,62854,53,5411321,0,11874,0,249,2,98,0,1,1
Papua,Papua,0,0,0,0,34374,560,33707,107,4340348,0,7920,0,129,2,98,1,1,1
Papua Barat,Papua,4,0,7,-3,23677,357,23218,102,1140701,4,20757,0,313,2,98,0,1,1
Riau,Sumatera,0,0,1,-1,128935,4117,124481,337,6074100,0,21227,0,678,3,97,0,1,1
Sulawesi Selatan,Sulawesi,2,0,0,2,110007,2241,107733,33,9426885,0,11670,0,238,2,98,0,1,1
Sulawesi Tengah,Sulawesi,1,0,0,1,47257,1605,45604,48,2955567,0,15989,0,543,3,96,0,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,20173,528,19638,7,2635461,0,7654,0,200,3,97,1,1,1
Sulawesi Utara,Sulawesi,1,0,0,1,34803,1063,33633,107,2641884,0,13174,0,402,3,97,0,1,1
Sumatera Barat,Sumatera,0,0,0,0,89873,2154,87713,6,5519245,0,16284,0,390,2,98,1,0,1
Sumatera Utara,Sumatera,1,0,6,-5,106126,2893,103184,49,14874889,0,7135,0,194,3,97,0,1,1
Aceh,Sumatera,0,0,0,0,38431,2066,36362,3,5247257,0,7324,0,394,5,95,0,1,1
DKI Jakarta,Jawa,172,0,23,149,865690,13609,851411,670,10846145,16,79815,0,1255,2,98,2,1,1
Daerah Istimewa Yogyakarta,Jawa,2,0,5,-3,157008,5269,151641,98,3631015,1,43241,0,1451,3,97,1,1,1
Jambi,Sumatera,0,0,1,-1,29792,783,28999,10,3493357,0,8528,0,224,3,97,1,1,1
Jawa Barat,Jawa,11,0,16,-5,708890,14756,693690,444,45161325,0,15697,0,327,2,98,1,1,1
Jawa Tengah,Jawa,8,0,13,-5,486933,30383,455822,728,36364072,0,13390,0,836,6,94,2,1,1
Jawa Timur,Jawa,10,0,9,1,400098,29746,370388,-36,40479023,0,9884,0,735,7,93,1,1,1
Kalimantan Tengah,Kalimantan,0,0,3,-3,45661,1433,44200,28,2570289,0,17765,0,558,3,97,1,1,1
Kalimantan Utara,Kalimantan,0,0,3,-3,35948,811,35114,23,648407,0,55440,0,1251,2,98,0,1,1
Kepulauan Riau,Sumatera,20,0,0,20,54308,1748,52132,428,1929400,10,28148,0,906,3,96,1,1,1
Lampung,Sumatera,0,0,2,-2,49751,3871,45347,533,9095591,0,5470,0,426,8,91,1,1,1
Maluku,Maluku,0,0,0,0,14596,266,14327,3,1847097,0,7902,0,144,2,98,1,0,1
Nusa Tenggara Barat,Nusa Tenggara,0,0,1,-1,27810,818,26922,70,5270247,0,5277,0,155,3,97,0,1,1
Papua Barat,Papua,7,0,0,7,23684,357,23218,109,1140701,6,20763,0,313,2,98,2,1,1
Sulawesi Selatan,Sulawesi,0,0,4,-4,110007,2241,107737,29,9426885,0,11670,0,238,2,98,0,1,1
Sulawesi Tengah,Sulawesi,1,0,0,1,47258,1605,45604,49,2955567,0,15989,0,543,3,96,1,1,1
Sulawesi Utara,Sulawesi,0,0,0,0,34803,1063,33633,107,2641884,0,13174,0,402,3,97,0,1,1
Sumatera Barat,Sumatera,0,0,0,0,89873,2154,87713,6,5519245,0,16284,0,390,2,98,1,1,1
Sumatera Selatan,Sumatera,1,0,0,1,59988,3082,56893,13,8217551,0,7300,0,375,5,95,1,1,1
Aceh,Sumatera,0,0,1,-1,38431,2066,36363,2,5247257,0,7324,0,394,5,95,1,1,1
Bali,Nusa Tenggara,8,1,5,2,114406,4063,110285,58,4216171,2,27135,0,964,4,96,2,1,1
Banten,Jawa,11,0,3,8,132859,2695,130141,23,10722374,1,12391,0,251,2,98,2,0,1
DKI Jakarta,Jawa,115,0,42,73,865805,13609,851453,743,10846145,11,79826,0,1255,2,98,1,1,1
Daerah Istimewa Yogyakarta,Jawa,2,0,4,-2,157010,5269,151645,96,3631015,1,43241,0,1451,3,97,1,1,1
Jambi,Sumatera,0,0,1,-1,29792,783,29000,9,3493357,0,8528,0,224,3,97,1,1,1
Jawa Barat,Jawa,32,0,23,9,708922,14756,693713,453,45161325,1,15698,0,327,2,98,3,1,1
Jawa Timur,Jawa,17,0,24,-7,400115,29746,370412,-43,40479023,0,9884,0,735,7,93,2,1,1
Kalimantan Barat,Kalimantan,7,0,2,5,41683,1064,40608,11,5422814,1,7687,0,196,3,97,7,0,1
Kalimantan Timur,Kalimantan,2,0,6,-4,158341,5452,152874,15,3552191,1,44576,0,1535,3,97,0,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,1,-1,52362,1462,50888,12,1379767,0,37950,0,1060,3,97,0,1,1
Kepulauan Riau,Sumatera,51,0,0,51,54359,1748,52132,479,1929400,26,28174,0,906,3,96,3,1,1
Maluku,Maluku,0,0,0,0,14596,266,14327,3,1847097,0,7902,0,144,2,98,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,0,0,0,0,27810,818,26922,70,5270247,0,5277,0,155,3,97,1,1,1
Nusa Tenggara Timur,Nusa Tenggara,2,0,3,-1,64265,1348,62863,54,5411321,0,11876,0,249,2,98,0,0,1
Papua,Papua,4,0,0,4,34380,560,33707,113,4340348,1,7921,0,129,2,98,2,1,1
Papua Barat,Papua,16,0,10,6,23700,357,23228,115,1140701,14,20777,0,313,2,98,2,1,1
Riau,Sumatera,1,0,0,1,128937,4117,124483,337,6074100,0,21227,0,678,3,97,1,1,1
Sulawesi Barat,Sulawesi,0,0,1,-1,12368,347,12018,3,1559984,0,7928,0,222,3,97,1,1,1
Sumatera Selatan,Sumatera,1,0,1,0,59989,3082,56894,13,8217551,0,7300,0,375,5,95,1,1,1
Sumatera Utara,Sumatera,0,0,5,-5,106127,2894,103194,39,14874889,0,7135,0,195,3,97,0,0,1
Aceh,Sumatera,0,0,1,-1,38431,2066,36364,1,5247257,0,7324,0,394,5,95,1,1,1
Bali,Nusa Tenggara,1,0,5,-4,114407,4063,110290,54,4216171,0,27135,0,964,4,96,0,0,1
Banten,Jawa,8,0,6,2,132867,2695,130147,25,10722374,1,12392,0,251,2,98,1,1,1
DKI Jakarta,Jawa,260,0,71,189,866065,13609,851524,932,10846145,24,79850,0,1255,2,98,2,1,1
Daerah Istimewa Yogyakarta,Jawa,2,0,7,-5,157012,5269,151652,91,3631015,1,43242,0,1451,3,97,1,1,1
Jawa Barat,Jawa,24,0,28,-4,708946,14756,693741,449,45161325,1,15698,0,327,2,98,1,1,1
Jawa Tengah,Jawa,24,0,5,19,486967,30384,455845,738,36364072,1,13391,0,836,6,94,2,0,1
Kalimantan Barat,Kalimantan,3,0,2,1,41686,1064,40610,12,5422814,1,7687,0,196,3,97,0,1,1
Kalimantan Selatan,Kalimantan,1,0,5,-4,69959,2392,67559,8,4023049,0,17390,0,595,3,97,1,1,1
Kalimantan Tengah,Kalimantan,3,0,3,0,45669,1433,44204,32,2570289,1,17768,0,558,3,97,1,1,1
Kalimantan Timur,Kalimantan,2,0,1,1,158343,5452,152875,16,3552191,1,44576,0,1535,3,97,1,1,1
Kalimantan Utara,Kalimantan,1,0,0,1,35953,811,35119,23,648407,2,55448,0,1251,2,98,0,1,1
Kepulauan Riau,Sumatera,16,0,0,16,54375,1748,52132,495,1929400,8,28182,0,906,3,96,0,1,1
Lampung,Sumatera,1,0,0,1,49753,3871,45350,532,9095591,0,5470,0,426,8,91,1,1,1
Maluku,Maluku,0,0,3,-3,14596,266,14330,0,1847097,0,7902,0,144,2,98,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,0,0,3,-3,27810,818,26925,67,5270247,0,5277,0,155,3,97,1,1,1
Nusa Tenggara Timur,Nusa Tenggara,9,0,3,6,64274,1348,62866,60,5411321,2,11878,0,249,2,98,4,1,1
Papua,Papua,2,0,1,1,34382,560,33708,114,4340348,0,7921,0,129,2,98,0,1,1
Papua Barat,Papua,15,0,4,11,23715,357,23232,126,1140701,13,20790,0,313,2,98,1,1,1
Riau,Sumatera,1,0,0,1,128938,4117,124483,338,6074100,0,21228,0,678,3,97,1,1,1
Sulawesi Barat,Sulawesi,0,0,0,0,12368,347,12018,3,1559984,0,7928,0,222,3,97,1,1,1
Sulawesi Selatan,Sulawesi,4,0,4,0,110018,2241,107744,33,9426885,0,11671,0,238,2,98,1,1,1
Sulawesi Tengah,Sulawesi,3,0,1,2,47263,1606,45612,45,2955567,1,15991,0,543,3,97,2,0,1
Sulawesi Utara,Sulawesi,5,0,0,5,34809,1063,33633,113,2641884,2,13176,0,402,3,97,5,1,1
Sumatera Selatan,Sumatera,0,0,4,-4,59989,3082,56898,9,8217551,0,7300,0,375,5,95,0,1,1
Aceh,Sumatera,0,0,0,0,38431,2066,36364,1,5247257,0,7324,0,394,5,95,1,1,1
Bali,Nusa Tenggara,4,0,7,-3,114411,4063,110297,51,4216171,1,27136,0,964,4,96,4,1,1
Banten,Jawa,21,0,1,20,132888,2695,130148,45,10722374,2,12394,0,251,2,98,3,1,1
DKI Jakarta,Jawa,267,0,50,217,866332,13609,851574,1149,10846145,25,79875,0,1255,2,98,1,1,1
Jawa Barat,Jawa,24,0,27,-3,708970,14756,693768,446,45161325,1,15699,0,327,2,98,1,1,1
Jawa Timur,Jawa,25,0,20,5,400152,29748,370443,-39,40479023,1,9885,0,735,7,93,2,0,1
Kalimantan Barat,Kalimantan,3,0,2,1,41689,1064,40612,13,5422814,1,7688,0,196,3,97,1,1,1
Kalimantan Selatan,Kalimantan,0,0,0,0,69959,2392,67559,8,4023049,0,17390,0,595,3,97,0,1,1
Kalimantan Tengah,Kalimantan,1,0,1,0,45670,1433,44205,32,2570289,0,17768,0,558,3,97,0,1,1
Kalimantan Timur,Kalimantan,4,0,2,2,158347,5452,152877,18,3552191,1,44577,0,1535,3,97,2,1,1
Kalimantan Utara,Kalimantan,9,0,0,9,35962,811,35119,32,648407,14,55462,0,1251,2,98,9,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,0,0,52366,1462,50891,13,1379767,0,37953,0,1060,3,97,0,1,1
Kepulauan Riau,Sumatera,123,0,0,123,54498,1748,52132,618,1929400,64,28246,0,906,3,96,8,1,1
Lampung,Sumatera,2,0,0,2,49755,3871,45350,534,9095591,0,5470,0,426,8,91,2,1,1
Maluku,Maluku,0,0,0,0,14596,266,14330,0,1847097,0,7902,0,144,2,98,1,1,1
Nusa Tenggara Timur,Nusa Tenggara,16,0,2,14,64290,1348,62868,74,5411321,3,11881,0,249,2,98,2,1,1
Papua,Papua,1,0,0,1,34383,560,33708,115,4340348,0,7922,0,129,2,98,0,1,1
Papua Barat,Papua,4,0,68,-64,23719,357,23300,62,1140701,4,20793,0,313,2,98,0,1,1
Riau,Sumatera,0,0,5,-5,128938,4117,124488,333,6074100,0,21228,0,678,3,97,0,1,1
Sulawesi Selatan,Sulawesi,3,0,0,3,110021,2241,107744,36,9426885,0,11671,0,238,2,98,1,1,1
Sulawesi Tengah,Sulawesi,2,0,1,1,47265,1606,45613,46,2955567,1,15992,0,543,3,96,1,1,1
Sumatera Barat,Sumatera,0,0,0,0,89874,2154,87713,7,5519245,0,16284,0,390,2,98,0,1,1
Bali,Nusa Tenggara,5,0,7,-2,114416,4063,110304,49,4216171,1,27137,0,964,4,96,1,1,1
Banten,Jawa,30,0,4,26,132918,2695,130152,71,10722374,3,12396,0,251,2,98,1,1,1
Bengkulu,Sumatera,0,0,1,-1,23105,473,22632,0,1999539,0,11555,0,237,2,98,1,1,1
DKI Jakarta,Jawa,300,0,77,223,866632,13609,851651,1372,10846145,28,79902,0,1255,2,98,1,1,1
Daerah Istimewa Yogyakarta,Jawa,8,0,2,6,157023,5270,151658,95,3631015,2,43245,0,1451,3,97,3,0,1
Gorontalo,Sulawesi,0,0,0,0,11850,461,11388,1,1180651,0,10037,0,390,4,96,0,1,1
Jambi,Sumatera,0,0,2,-2,29793,784,29003,6,3493357,0,8528,0,224,3,97,1,0,1
Jawa Barat,Jawa,36,0,18,18,709006,14756,693786,464,45161325,1,15699,0,327,2,98,2,1,1
Jawa Tengah,Jawa,28,1,11,16,487005,30387,455870,748,36364072,1,13392,0,836,6,94,3,0,1
Kalimantan Barat,Kalimantan,3,0,3,0,41692,1064,40615,13,5422814,1,7688,0,196,3,97,1,1,1
Kalimantan Selatan,Kalimantan,0,0,3,-3,69959,2392,67562,5,4023049,0,17390,0,595,3,97,1,1,1
Kalimantan Utara,Kalimantan,0,0,0,0,35962,811,35119,32,648407,0,55462,0,1251,2,98,0,1,1
Kepulauan Riau,Sumatera,60,0,1,59,54558,1748,52133,677,1929400,31,28277,0,906,3,96,0,1,1
Lampung,Sumatera,0,0,1,-1,49755,3871,45351,533,9095591,0,5470,0,426,8,91,0,1,1
Nusa Tenggara Barat,Nusa Tenggara,1,0,0,1,27812,818,26925,69,5270247,0,5277,0,155,3,97,1,1,1
Nusa Tenggara Timur,Nusa Tenggara,3,0,3,0,64293,1348,62871,74,5411321,1,11881,0,249,2,98,0,1,1
Papua,Papua,1,0,0,1,34384,560,33708,116,4340348,0,7922,0,129,2,98,1,1,1
Papua Barat,Papua,3,0,13,-10,23722,357,23313,52,1140701,3,20796,0,313,2,98,1,1,1
Sulawesi Barat,Sulawesi,0,0,0,0,12369,347,12020,2,1559984,0,7929,0,222,3,97,0,1,1
Sulawesi Selatan,Sulawesi,4,0,3,1,110025,2241,107747,37,9426885,0,11671,0,238,2,98,1,1,1
Sulawesi Tengah,Sulawesi,7,0,27,-20,47272,1606,45640,26,2955567,2,15994,0,543,3,97,4,1,1
Sulawesi Utara,Sulawesi,5,0,0,5,34816,1064,33633,119,2641884,2,13178,0,403,3,97,2,0,1
Sumatera Barat,Sumatera,0,0,0,0,89874,2154,87713,7,5519245,0,16284,0,390,2,98,1,1,1
Sumatera Selatan,Sumatera,0,0,0,0,59990,3082,56898,10,8217551,0,7300,0,375,5,95,0,1,1
Sumatera Utara,Sumatera,2,0,7,-5,106137,2895,103212,30,14874889,0,7135,0,195,3,97,0,0,1
Aceh,Sumatera,0,0,0,0,38432,2066,36365,1,5247257,0,7324,0,394,5,95,0,1,1
Bali,Nusa Tenggara,6,0,2,4,114422,4063,110306,53,4216171,1,27139,0,964,4,96,1,1,1
Banten,Jawa,33,0,6,27,132951,2695,130158,98,10722374,3,12399,0,251,2,98,1,1,1
Bengkulu,Sumatera,0,0,0,0,23105,473,22632,0,1999539,0,11555,0,237,2,98,1,1,1
DKI Jakarta,Jawa,278,0,79,199,866910,13609,851730,1571,10846145,26,79928,0,1255,2,98,1,1,1
Daerah Istimewa Yogyakarta,Jawa,1,0,7,-6,157024,5270,151665,89,3631015,0,43245,0,1451,3,97,0,1,1
Gorontalo,Sulawesi,0,0,0,0,11850,461,11388,1,1180651,0,10037,0,390,4,96,1,1,1
Jambi,Sumatera,0,0,2,-2,29793,784,29005,4,3493357,0,8528,0,224,3,97,1,1,1
Jawa Barat,Jawa,25,0,17,8,709031,14756,693803,472,45161325,1,15700,0,327,2,98,1,1,1
Jawa Tengah,Jawa,9,1,15,-7,487014,30388,455885,741,36364072,0,13393,0,836,6,94,0,1,1
Jawa Timur,Jawa,29,3,16,10,400196,29752,370475,-31,40479023,1,9887,0,735,7,93,2,3,1
Kalimantan Barat,Kalimantan,3,0,3,0,41695,1064,40618,13,5422814,1,7689,0,196,3,97,1,1,1
Kalimantan Tengah,Kalimantan,0,0,1,-1,45671,1434,44208,29,2570289,0,17769,0,558,3,97,0,0,1
Kepulauan Bangka Belitung,Sumatera,2,0,0,2,52373,1462,50893,18,1379767,1,37958,0,1060,3,97,0,1,1
Kepulauan Riau,Sumatera,57,0,0,57,54615,1748,52133,734,1929400,30,28307,0,906,3,95,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,0,0,1,-1,27812,818,26926,68,5270247,0,5277,0,155,3,97,0,1,1
Papua,Papua,2,0,0,2,34386,560,33708,118,4340348,0,7922,0,129,2,98,2,1,1
Papua Barat,Papua,12,0,7,5,23734,357,23320,57,1140701,11,20807,0,313,2,98,4,1,1
Sulawesi Selatan,Sulawesi,5,0,5,0,110030,2241,107752,37,9426885,1,11672,0,238,2,98,1,1,1
Sulawesi Tengah,Sulawesi,0,0,1,-1,47272,1606,45641,25,2955567,0,15994,0,543,3,97,0,1,1
Sulawesi Tenggara,Sulawesi,0,0,2,-2,20173,528,19640,5,2635461,0,7654,0,200,3,97,1,1,1
Sulawesi Utara,Sulawesi,3,0,0,3,34819,1064,33633,122,2641884,1,13180,0,403,3,97,1,1,1
Sumatera Selatan,Sumatera,0,0,0,0,59990,3082,56898,10,8217551,0,7300,0,375,5,95,1,1,1
Aceh,Sumatera,0,0,0,0,38432,2066,36365,1,5247257,0,7324,0,394,5,95,1,1,1
Bali,Nusa Tenggara,9,0,1,8,114431,4063,110307,61,4216171,2,27141,0,964,4,96,2,1,1
Banten,Jawa,21,0,7,14,132972,2695,130165,112,10722374,2,12401,0,251,2,98,1,1,1
DKI Jakarta,Jawa,392,0,111,281,867302,13609,851841,1852,10846145,36,79964,0,1255,2,98,1,1,1
Daerah Istimewa Yogyakarta,Jawa,10,0,3,7,157034,5270,151668,96,3631015,3,43248,0,1451,3,97,10,1,1
Jambi,Sumatera,0,0,0,0,29793,784,29005,4,3493357,0,8528,0,224,3,97,1,1,1
Jawa Barat,Jawa,22,0,30,-8,709053,14756,693833,464,45161325,0,15700,0,327,2,98,1,1,1
Jawa Tengah,Jawa,8,0,6,2,487022,30388,455891,743,36364072,0,13393,0,836,6,94,1,0,1
Jawa Timur,Jawa,16,1,21,-6,400212,29753,370496,-37,40479023,0,9887,0,735,7,93,1,0,1
Kalimantan Barat,Kalimantan,3,0,3,0,41698,1064,40621,13,5422814,1,7689,0,196,3,97,1,1,1
Kalimantan Selatan,Kalimantan,0,0,0,0,69961,2392,67563,6,4023049,0,17390,0,595,3,97,0,1,1
Kalimantan Timur,Kalimantan,1,0,1,0,158351,5453,152884,14,3552191,0,44578,0,1535,3,97,0,1,1
Kalimantan Utara,Kalimantan,0,0,0,0,35963,811,35119,33,648407,0,55464,0,1251,2,98,0,1,1
Kepulauan Bangka Belitung,Sumatera,1,0,3,-2,52374,1462,50896,16,1379767,1,37959,0,1060,3,97,0,1,1
Kepulauan Riau,Sumatera,24,0,0,24,54639,1748,52133,758,1929400,12,28319,0,906,3,95,0,1,1
Lampung,Sumatera,0,0,0,0,49756,3871,45353,532,9095591,0,5470,0,426,8,91,0,1,1
Maluku Utara,Maluku,0,0,0,0,12106,303,11802,1,1307803,0,9257,0,232,2,97,0,1,1
Nusa Tenggara Barat,Nusa Tenggara,0,0,2,-2,27812,818,26928,66,5270247,0,5277,0,155,3,97,1,1,1
Nusa Tenggara Timur,Nusa Tenggara,5,1,4,0,64302,1350,62876,76,5411321,1,11883,0,249,2,98,1,1,1
Papua,Papua,0,0,0,0,34386,560,33708,118,4340348,0,7922,0,129,2,98,0,1,1
Papua Barat,Papua,1,0,0,1,23735,357,23320,58,1140701,1,20807,0,313,2,98,0,1,1
Riau,Sumatera,1,0,0,1,128940,4118,124493,329,6074100,0,21228,0,678,3,97,1,1,1
Sulawesi Barat,Sulawesi,1,0,1,0,12371,347,12021,3,1559984,1,7930,0,222,3,97,1,1,1
Sulawesi Selatan,Sulawesi,7,0,7,0,110037,2241,107759,37,9426885,1,11673,0,238,2,98,1,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,20173,528,19640,5,2635461,0,7654,0,200,3,97,1,1,1
Sulawesi Utara,Sulawesi,0,0,0,0,34819,1064,33633,122,2641884,0,13180,0,403,3,97,0,1,1
Sumatera Utara,Sumatera,0,0,0,0,106137,2896,103222,19,14874889,0,7135,0,195,3,97,1,0,1
Bali,Nusa Tenggara,1,0,8,-7,114432,4063,110315,54,4216171,0,27141,0,964,4,96,0,1,1
Banten,Jawa,16,0,4,12,132988,2695,130169,124,10722374,1,12403,0,251,2,98,1,1,1
DKI Jakarta,Jawa,360,0,100,260,867662,13609,851941,2112,10846145,33,79997,0,1255,2,98,1,1,1
Daerah Istimewa Yogyakarta,Jawa,3,0,3,0,157037,5270,151671,96,3631015,1,43249,0,1451,3,97,0,1,1
Jawa Timur,Jawa,8,1,7,0,400220,29754,370503,-37,40479023,0,9887,0,735,7,93,0,1,1
Kalimantan Barat,Kalimantan,1,0,2,-1,41699,1064,40623,12,5422814,0,7690,0,196,3,97,0,1,1
Kalimantan Selatan,Kalimantan,0,0,0,0,69961,2392,67563,6,4023049,0,17390,0,595,3,97,1,1,1
Kalimantan Timur,Kalimantan,3,0,1,2,158354,5453,152885,16,3552191,1,44579,0,1535,3,97,3,1,1
Kalimantan Utara,Kalimantan,0,0,0,0,35963,811,35119,33,648407,0,55464,0,1251,2,98,1,1,1
Kepulauan Bangka Belitung,Sumatera,1,0,1,0,52375,1462,50897,16,1379767,1,37959,0,1060,3,97,1,1,1
Kepulauan Riau,Sumatera,5,0,23,-18,54644,1748,52156,740,1929400,3,28322,0,906,3,95,0,1,1
Nusa Tenggara Barat,Nusa Tenggara,0,0,3,-3,27812,818,26931,63,5270247,0,5277,0,155,3,97,1,1,1
Nusa Tenggara Timur,Nusa Tenggara,10,0,2,8,64312,1350,62878,84,5411321,2,11885,0,249,2,98,2,0,1
